id,tags,created_at,updated_at,title,inputter,reference,SMILES,mol_ratio,structure,Mw,Mn,PDI,additive,additive_weight_ratio,RI_measurement,rafractive_index,wavelength,nTE,nTM,Birefringence,abbe_at_D,cutoff_wavelength,transmittance_400nm,thickness,Tg,Td5,Td10,Tm,Tb,density,memo,file
8572,1,2022-05-09 05:24:14,2022-05-14 06:04:02,PI1_1,seigo watanabe,10.1016/j.eurpolymj.2019.109358,[Mg]C1=CC=C(OC2=CC=C(N(C3=O)C(C4=C3C=CC(OC5=CC=C(C(N([Mg])C6=O)=O)C6=C5)=C4)=O)C=C2)C=C1,1,linear,17466.0,8200.0,2.13,,,elli,1.672,633.0,,,0.012,290.0,,,18.9,244.0,,,,,,,564
8571,1,2022-05-09 05:24:14,2022-05-09 05:24:14,PI2_2,seigo watanabe,10.1016/j.eurpolymj.2019.109358,[Mg]C1=CC=C(OC2=CC=C(N(C3=O)C(C4=C3C=CC(C(C(F)(F)F)(C(F)(F)F)C5=CC=C(C(N([Mg])C6=O)=O)C6=C5)=C4)=O)C=C2)C=C1,1,linear,38532.0,16900.0,2.28,,,elli,1.632,633.0,,,0.019,274.0,,,17.0,261.0,,,,,,518,544
8570,1,2022-05-09 05:24:14,2022-05-09 05:24:14,PI3_3,seigo watanabe,10.1016/j.eurpolymj.2019.109358,[Mg]C1=CC=C(SC2=CC=C(N(C3=O)C(C4=C3C=CC(C(C(F)(F)F)(C(F)(F)F)C5=CC=C(C(N([Mg])C6=O)=O)C6=C5)=C4)=O)C=C2)C=C1,1,linear,76405.0,29500.0,2.59,,,elli,1.699,633.0,,,0.032,307.0,,,17.3,243.0,,,,,,516,542
8569,1,2022-05-09 05:24:14,2022-05-09 05:24:14,PI4_4,seigo watanabe,10.1016/j.eurpolymj.2019.109358,[Mg]C1=CC=C([Se]C2=CC=C(N(C3=O)C(C4=C3C=CC(C(C(F)(F)F)(C(F)(F)F)C5=CC=C(C(N([Mg])C6=O)=O)C6=C5)=C4)=O)C=C2)C=C1,1,linear,49621.0,14300.0,3.47,,,elli,1.844,633.0,,,0.008,330.0,,,20.1,218.0,,,,,,481,521
8568,1,2022-05-09 05:24:14,2022-05-09 05:24:14,PI5_5,seigo watanabe,10.1016/j.eurpolymj.2019.109358,[Mg]C1=CC=C([Se]C2=CC=C(N(C3=O)C(C4=C3C=CC(C(C(F)(F)F)(C(F)(F)F)C5=CC=C(C(N([Mg])C6=O)=O)C6=C5)=C4)=O)C(C(F)(F)F)=C2)C=C1C(F)(F)F,1,linear,38916.0,14100.0,2.76,,,elli,1.831,633.0,,,0.009,315.0,,,15.5,245.0,,,,,,486,531
8567,1,2022-05-09 05:24:14,2022-05-09 05:24:14,TVPS-EDTH_6,seigo watanabe,10.1021/acs.macromol.9b01671,[Mg]CCP(CC[Mg])(CC[Mg])=S.[Mg]SCCS[Mg],2/3,network_alt,,,,,,abbe,1.676,546.0,,,,323.0,,,,49.0,,,,,,306,319
8566,1,2022-05-09 05:24:14,2022-05-09 05:24:14,TVPSe-EDTH_7,seigo watanabe,10.1021/acs.macromol.9b01671,[Mg]CCP(CC[Mg])(CC[Mg])=[Se].[Mg]SCCS[Mg],2/3,network_alt,,,,,,abbe,1.713,546.0,,,,350.0,,,31.77,77.8,,,,,,284,299
8565,1,2022-05-09 05:24:14,2022-05-09 05:24:14,TVPS-BDTH_8,seigo watanabe,10.1021/acs.macromol.9b01671,[Mg]CCP(CC[Mg])(CC[Mg])=S.[Mg]SC1=CC=CC(S[Mg])=C1,2/3,network_alt,,,,,,abbe,1.732,546.0,,,,383.0,,,23.35,70.9,,,,,,351,354
8564,1,2022-05-09 05:24:14,2022-05-09 05:24:14,TVPSe-BDTH_9,seigo watanabe,10.1021/acs.macromol.9b01671,[Mg]CCP(CC[Mg])(CC[Mg])=[Se].[Mg]SC1=CC=CC(S[Mg])=C1,2/3,network_alt,,,,,,abbe,1.752,546.0,,,,406.0,,,22.57,81.1,,,,,,326,334
8563,1,2022-05-09 05:24:14,2022-05-09 05:24:14,TVPSe-BDTH-AIBN_10,seigo watanabe,10.1021/acs.macromol.9b01671,[Mg]CCP(CC[Mg])(CC[Mg])=[Se].[Mg]SCCS[Mg].[Mg]C(C)(C)C#N,2/3/0.01,network_alt,,,,,,abbe,1.752,546.0,,,,378.0,,,22.57,75.0,,,,,,331,337
